sample_id,collection_date,dilution,name,site_name,sewershed_pop,N_Gene_num_wells,N_Gene_gc_g_dry_weight,N_Gene_gc_g_dry_weight_lci,N_Gene_gc_g_dry_weight_uci,N_Gene_gc_g_dry_weight_pmmov,N_Gene_gc_g_dry_weight_pmmov_lci,N_Gene_gc_g_dry_weight_pmmov_uci,N_Gene_gc_g_dry_weight_trimmed5,N_Gene_gc_g_dry_weight_trimmed5_pmmov
"26-220517","2022-05-17",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,330386.37175681343,315082.98988679243,345692.7285534591,0.0018092783974548179,0.0016620925000346274,0.0019564642948750083,87308.99517234422,0.0006104120029062776
"26-220526","2022-05-26",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,5,86972.33651809527,79255.20396190477,94690.29741714287,0.0005230327695693065,0.00045910881435585815,0.0005869567247827549,87308.99517234422,0.0005960428208349761
"26-220602","2022-06-02",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,112178.66253269537,94837.17654864432,127028.00745135566,0.0009462288800346859,0.000511474451899304,0.0013809833081700677,96547.35562010482,0.0007135593618742588
"26-220609","2022-06-09",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,15606.271969171483,11149.849273217727,19880.80930404624,0.000182192970227279,0.00012131648993296348,0.0002430694505215945,69678.88680637926,0.00046136525968785546
"26-220616","2022-06-16",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,90491.0678095238,82897.61015873014,98085.305015873,0.000671416436018784,0.000545962237890375,0.000796870634147193,73581.0124724608,0.0003588751216127539
"26-220623","2022-06-23",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,5,31573.25609151874,25328.643692307694,38876.159185798824,0.00018964657347547579,0.00011876357837281431,0.0002605295685781373,45890.19862340467,0.00019580063301558558
"26-220628","2022-06-28",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,98678.71351633988,89486.77242701522,108050.61026579521,0.00021556235534400198,0.00014395161459289293,0.00028717309609511103,73581.0124724608,0.00032953840132973067
"26-220707","2022-07-07",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,4,9891.74469440716,7300.819593736019,13033.441245637587,0.00004860847563870027,0.000027958718954686887,0.00006925823232271366,47509.237500561925,0.00016350072214362343
"26-220714","2022-07-14",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,102122.29721212122,89749.09155555555,115201.53005252524,0.0005834062751697143,0.0003291948085612984,0.0008376177417781303,66500.30394552737,0.0002947539560417029
"26-220721","2022-07-21",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,12275.742893827159,10027.672039506173,14837.448977777774,0.00008529323761139243,0.00005970978152770912,0.00011087669369507575,44437.78541468392,0.0002949774854428716
"26-220728","2022-07-28",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,88546.4554264151,80702.81406792453,95520.98882012579,0.0006255359273221719,0.0005348904985121424,0.0007161813561322015,67615.67641224981,0.000446511834445028
"26-220803","2022-08-03",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,32491.15792380952,28206.51493333333,37189.80153650793,0.000216232943547508,0.000167665935868709,0.00026479995122630695,67615.67641224981,0.00046055505182918057
"26-220811","2022-08-11",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,81809.41588652482,75217.35523404254,88402.13940425531,0.0005398962846178617,0.0004682478192270209,0.0006115447500087026,93021.06922443344,0.0007421436239842995
"26-220818","2022-08-18",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,5,186793.16662172286,170880.40701123598,206721.6594456929,0.0010609986600128647,0.0009084197353399489,0.0012135775846857807,87864.56130451728,0.0006751305525273928
"26-220825","2022-08-25",1,"Louisville, KY","Morris Forman Water Quality Treatment Center",423913,6,108707.33636036035,98657.78556156156,118757.78056456454,0.0023176668112426867,0.0018503009698424308,0.0027850326526429425,87864.56130451728,0.0006751305525273928
